subject,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,human_choice,normative_choice,EV_left,EV_right,EV_diff,complexity,is_correct,dataset_source,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
1,64,55,44,60,52,74,60,48,56,78,93,61,54,35,32,50,0,0,57.125,57.375,-0.25,15.144804318340652,1,lab,25.75728052415472,39.0,-49.0,-2,1.9061547465398496
1,46,27,53,80,58,47,47,58,34,21,34,44,43,70,34,55,1,1,52.0,41.875,10.125,5.2999527281825625,1,lab,15.607990741924471,36.0,-23.0,6,2.0794415416798357
1,60,84,54,56,41,46,69,37,57,56,55,32,52,16,53,46,1,1,55.875,45.875,10.0,5.366088203139622,1,lab,15.524174696260024,30.0,-11.0,2,2.0794415416798357
1,43,44,37,61,40,42,55,30,60,72,22,29,62,42,18,50,0,0,44.0,44.375,-0.375,14.822450444071203,1,lab,23.910967671761007,37.0,-28.0,-1,2.0794415416798357
1,56,61,47,53,55,73,74,47,41,54,62,49,76,28,59,94,0,1,58.25,57.875,0.375,15.3156288380464,0,lab,26.014118762702687,45.0,-47.0,2,1.9061547465398496
1,47,43,73,74,41,34,65,54,50,47,32,42,25,36,73,49,1,1,53.875,44.25,9.625,5.595463199259081,1,lab,17.09486399477925,41.0,-8.0,0,2.0794415416798357
1,51,45,38,64,19,37,65,42,61,71,50,38,78,51,52,36,1,0,45.125,54.625,-9.5,5.722242497958922,0,lab,24.38237068047322,26.0,-59.0,-2,2.0794415416798357
1,51,55,60,40,40,74,61,81,55,34,65,39,31,58,36,67,1,1,57.75,48.125,9.625,5.392628530053161,1,lab,10.605865122657368,25.0,-5.0,4,2.0794415416798357
1,39,76,38,22,24,66,25,28,47,42,24,38,49,52,36,31,1,0,39.75,39.875,-0.125,15.281573272470423,0,lab,18.10688750172155,34.0,-25.0,-2,1.9061547465398496
1,65,84,40,44,42,59,50,46,33,59,64,57,26,38,44,29,1,1,53.75,43.75,10.0,5.198684153570664,1,lab,18.083141320025124,32.0,-24.0,4,2.0794415416798357
1,49,44,23,22,35,47,52,67,67,41,71,30,39,45,65,59,0,0,42.375,52.125,-9.75,5.7827610767264,1,lab,16.55860803328589,8.0,-48.0,-2,2.0794415416798357
1,67,44,63,57,81,34,54,45,59,34,51,29,68,38,57,31,0,1,55.625,45.875,9.75,5.413552793898049,0,lab,9.496709956611289,28.0,-4.0,4,2.0794415416798357
1,45,56,72,44,64,24,57,62,17,52,36,30,43,61,58,47,1,1,53.0,43.0,10.0,5.305772331596556,1,lab,21.0,36.0,-37.0,4,2.0794415416798357
