subject,sequenceA1,sequenceA2,sequenceA3,sequenceA4,sequenceA5,sequenceA6,sequenceA7,sequenceA8,sequenceB1,sequenceB2,sequenceB3,sequenceB4,sequenceB5,sequenceB6,sequenceB7,sequenceB8,isDifferentMeanSameVariance,sequenceChoiceLeft,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy,economic_loss
1,38,28,44,24,50,46,49,50,47,46,47,81,20,22,24,39,0,1,41.125,40.75,0.375,1,1,-0.375,15.316521580741933,14.941521580741933,27.11981517267402,30.0,-57.0,0,2.0794415416798357,0.0
1,33,63,56,47,52,53,83,39,59,61,25,40,50,52,27,27,1,0,53.25,42.625,10.625,1,0,-10.625,15.59259974047518,4.96759974047518,22.560682059725057,56.0,-26.0,6,1.9061547465398496,10.625
1,45,41,31,64,52,65,78,43,45,57,40,23,23,34,52,62,1,0,52.375,42.0,10.375,1,0,-10.375,15.565854725434557,5.190854725434557,22.349147075447867,41.0,-19.0,1,2.0794415416798357,10.375
1,58,52,63,47,55,70,38,58,92,59,72,32,50,54,46,36,0,1,55.125,55.125,0.0,0,0,-0.0,14.921461054467823,14.921461054467823,17.10263137648707,22.0,-34.0,0,2.0794415416798357,0.0
1,82,63,41,13,50,50,64,60,41,66,40,49,48,59,61,59,0,0,52.875,52.875,0.0,0,1,-0.0,15.344380078712858,15.344380078712858,19.62778642639052,41.0,-36.0,2,1.9061547465398496,0.0
1,59,52,43,26,26,71,45,41,47,71,62,68,29,40,66,55,1,0,45.375,54.75,-9.375,0,1,-9.375,15.43359431024845,6.05859431024845,21.017477845831074,31.0,-42.0,-4,1.9061547465398496,0.0
1,29,15,69,47,64,26,55,23,60,35,48,41,36,33,29,48,0,1,41.0,41.25,-0.25,0,0,-0.25,15.581506131736218,15.331506131736218,22.280877451303393,28.0,-31.0,0,2.0794415416798357,0.25
1,71,65,98,53,57,55,55,25,60,65,74,68,50,63,59,44,0,1,59.875,60.375,-0.5,0,0,-0.5,15.435349040433131,14.935349040433131,13.275918047351754,24.0,-19.0,-1,2.0794415416798357,0.5
1,75,31,49,49,41,44,71,42,46,69,79,43,73,73,50,44,1,1,50.25,59.625,-9.375,0,0,-9.375,15.450862974820101,6.075862974820101,24.565918973244212,29.0,-38.0,-2,2.0794415416798357,9.375
1,30,49,39,49,61,62,77,58,64,37,41,26,42,47,24,62,1,0,53.125,42.875,10.25,1,0,-10.25,15.12613632095123,4.876136320951231,23.461404476288287,53.0,-34.0,2,2.0794415416798357,10.25
1,52,45,35,31,51,71,45,21,63,60,56,68,26,36,54,70,1,0,43.875,54.125,-10.25,0,1,-10.25,15.756480148391857,5.506480148391857,26.569484375877526,35.0,-49.0,-4,2.0794415416798357,0.0
1,51,38,75,37,66,44,32,55,61,55,50,23,42,42,20,27,1,1,49.75,40.0,9.75,1,1,-9.75,15.474172029546525,5.724172029546525,15.642490210960657,28.0,-17.0,4,2.0794415416798357,0.0
1,62,70,51,20,60,43,44,43,53,85,73,49,68,37,55,53,1,0,49.125,59.125,-10.0,0,1,-10.0,15.700849233932114,5.700849233932114,12.0,9.0,-29.0,-4,2.0794415416798357,0.0
1,58,46,83,62,58,34,73,65,59,41,48,54,57,46,20,72,1,0,59.875,49.625,10.25,1,0,-10.25,15.614096195425466,5.364096195425466,20.849160654568326,53.0,-12.0,2,2.0794415416798357,10.25
1,19,34,39,53,59,68,39,80,40,62,65,42,41,43,49,49,0,1,48.875,48.875,0.0,0,0,-0.0,15.094701056993477,15.094701056993477,22.44994432064365,31.0,-28.0,0,2.0794415416798357,0.0
1,65,36,57,29,54,56,72,68,37,54,72,24,56,40,41,37,1,1,54.625,45.125,9.5,1,1,-9.5,15.279070652366261,5.779070652366261,18.76832437912346,31.0,-18.0,2,1.9061547465398496,0.0
1,41,55,64,52,64,67,42,56,74,69,56,23,66,47,31,76,0,0,55.125,55.25,-0.125,0,1,-0.125,15.197450444071203,15.072450444071203,19.732191338014132,29.0,-33.0,0,2.0794415416798357,0.0
1,49,68,84,66,31,63,61,25,61,52,55,67,56,71,47,41,0,0,55.875,56.25,-0.375,0,1,-0.375,15.12379471781691,14.74879471781691,17.254981164869466,29.0,-25.0,-2,2.0794415416798357,0.0
1,48,64,51,39,26,16,48,42,75,45,45,38,46,69,33,63,1,0,41.75,51.75,-10.0,0,1,-10.0,15.506987672229144,5.506987672229144,22.91833327273168,19.0,-53.0,0,2.0794415416798357,0.0
1,52,64,65,47,55,57,63,37,88,37,48,68,55,66,22,54,0,0,55.0,54.75,0.25,1,0,-0.25,15.248497193712785,14.998497193712785,24.508926945094924,41.0,-36.0,-1,2.0794415416798357,0.25
1,66,17,53,41,77,56,47,75,64,66,49,43,46,42,61,61,0,0,54.0,54.0,0.0,0,1,-0.0,15.05988047761336,15.05988047761336,22.28788908802267,31.0,-49.0,2,1.9061547465398496,0.0
1,37,48,28,72,36,27,53,54,52,66,56,35,59,41,82,43,1,1,44.375,54.25,-9.875,0,0,-9.875,15.576558242007978,5.7015582420079784,21.23933555928716,37.0,-29.0,-4,2.0794415416798357,9.875
1,33,71,69,38,68,64,51,65,47,62,28,65,62,28,35,46,1,1,57.375,46.625,10.75,1,1,-10.75,15.594870951694341,4.844870951694341,21.53920843485201,41.0,-27.0,4,2.0794415416798357,0.0
1,50,60,29,71,67,38,36,54,50,34,26,40,65,48,18,45,1,0,50.625,40.75,9.875,1,0,-9.875,15.361070926208237,5.486070926208237,13.109514674464497,31.0,-10.0,5,2.0794415416798357,9.875
1,51,26,63,53,49,20,40,55,68,43,59,29,58,50,77,54,1,0,44.625,54.75,-10.125,0,1,-10.125,15.23906711930447,5.114067119304471,18.374149640187433,24.0,-37.0,-2,1.9061547465398496,0.0
1,37,22,60,48,30,40,66,39,62,47,55,82,54,31,52,44,1,0,42.75,53.375,-10.625,0,1,-10.625,15.259832895546399,4.634832895546399,17.341694698039174,14.0,-34.0,-2,1.9061547465398496,0.0
1,74,57,45,37,37,78,92,52,48,42,62,56,62,68,73,59,0,1,59.0,58.75,0.25,1,1,-0.25,15.504300478684401,15.254300478684401,18.32177666057525,26.0,-25.0,0,2.0794415416798357,0.0
1,49,52,79,55,50,53,66,52,41,78,68,39,70,25,79,55,0,1,57.0,56.875,0.125,1,1,-0.125,15.429274124209472,15.304274124209472,17.602822927019403,28.0,-26.0,0,2.0794415416798357,0.0
1,35,77,77,73,23,57,53,56,66,44,49,70,53,66,45,57,0,1,56.375,56.25,0.125,1,1,-0.125,15.120488307811579,14.995488307811579,22.047888220870497,33.0,-31.0,0,2.0794415416798357,0.0
