sequenceLeft_1,sequenceLeft_2,sequenceLeft_3,sequenceLeft_4,sequenceLeft_5,sequenceLeft_6,sequenceLeft_7,sequenceLeft_8,sequenceRight_1,sequenceRight_2,sequenceRight_3,sequenceRight_4,sequenceRight_5,sequenceRight_6,sequenceRight_7,sequenceRight_8,diffSequence_1,diffSequence_2,diffSequence_3,diffSequence_4,diffSequence_5,diffSequence_6,diffSequence_7,diffSequence_8,flip,responseLeft,confidence,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
72,50,34,38,68,64,52,39,52,39,36,20,65,61,44,38,20,11,-2,18,3,3,8,1,0,1,6,52.125,44.375,7.75,1,1,-7.75,14.667424222859763,6.917424222859763,7.51248960065836,20.0,-2.0,6,1.9061547465398496
70,27,65,60,63,58,45,39,64,63,54,38,19,61,47,45,6,-36,11,22,44,-3,-2,-6,0,1,4,53.375,48.875,4.5,1,1,-4.5,14.72809107341025,10.22809107341025,21.6794833886788,44.0,-36.0,0,2.0794415416798357
58,48,18,60,25,40,55,39,62,17,54,63,37,43,57,44,-4,31,-36,-3,-12,-3,-2,-5,1,0,2,42.875,47.125,-4.25,0,1,-4.25,15.019986684414869,10.769986684414869,17.027551203857822,31.0,-36.0,-6,1.9061547465398496
46,67,27,43,71,48,65,63,34,48,75,37,67,34,57,51,12,19,-48,6,4,14,8,12,0,1,4,53.75,50.375,3.375,1,1,-3.375,14.838997046071993,11.463997046071993,19.918192061530082,19.0,-48.0,6,1.9061547465398496
40,67,66,34,25,43,50,43,32,44,20,66,24,38,47,32,8,23,46,-32,1,5,3,11,0,1,6,46.0,37.875,8.125,1,1,-8.125,14.726252069009277,6.601252069009277,20.496569834974828,46.0,-32.0,6,2.0794415416798357
64,47,39,44,22,53,69,52,55,41,16,40,57,47,65,36,9,6,23,4,-35,6,4,16,0,1,6,48.75,44.625,4.125,1,1,-4.125,14.572662762858407,10.447662762858407,16.04242422453664,23.0,-35.0,6,1.7328679513998633
16,57,49,49,60,63,42,58,44,50,32,58,80,57,65,38,-28,7,17,-9,-20,6,-23,20,1,0,6,49.25,53.0,-3.75,0,1,-3.75,14.890153345975543,11.140153345975543,17.51963184544698,20.0,-28.0,0,2.0794415416798357
37,38,79,56,66,41,60,55,49,44,21,61,55,54,55,26,-12,-6,58,-5,11,-13,5,29,0,1,6,54.0,45.625,8.375,1,1,-8.375,14.815391771172754,6.440391771172754,22.814126654334153,58.0,-13.0,0,2.0794415416798357
35,57,50,61,20,32,23,37,49,59,58,18,30,60,46,55,-14,-2,-8,43,-10,-28,-23,-18,1,0,6,39.375,46.875,-7.5,0,1,-7.5,15.213480864023197,7.713480864023197,20.615528128088304,43.0,-28.0,-6,2.0794415416798357
68,57,18,47,53,55,66,52,47,59,49,20,67,35,53,57,21,-2,-31,27,-14,20,13,-5,0,1,1,52.0,48.375,3.625,1,1,-3.625,14.74773993984615,11.12273993984615,18.774567238687553,27.0,-31.0,0,2.0794415416798357
59,46,29,41,24,58,63,59,60,27,20,47,52,35,41,61,-1,19,9,-6,-28,23,22,-2,0,1,2,47.375,42.875,4.5,1,1,-4.5,14.600799064891392,10.100799064891392,16.27114009527298,23.0,-28.0,0,2.0794415416798357
45,41,31,23,56,63,33,23,55,64,28,64,55,47,26,34,-10,-23,3,-41,1,16,7,-11,1,0,6,39.375,46.625,-7.25,0,1,-7.25,15.05988047761336,7.80988047761336,17.049560111627514,16.0,-41.0,0,2.0794415416798357
50,45,46,39,15,32,42,68,63,27,25,43,54,62,38,53,-13,18,21,-4,-39,-30,4,15,1,0,4,42.125,45.625,-3.5,0,1,-3.5,14.568802284333465,11.068802284333465,20.958291915134687,21.0,-39.0,0,2.0794415416798357
65,68,55,49,24,71,44,56,33,37,63,73,44,32,50,34,32,31,-8,-24,-20,39,-6,22,0,0,3,54.0,45.75,8.25,1,0,-8.25,15.353067011729827,7.103067011729827,23.7736724129866,39.0,-24.0,0,2.0794415416798357
41,36,28,49,27,66,30,62,69,39,51,65,30,41,40,68,-28,-3,-23,-16,-3,25,-10,-6,1,0,6,42.375,50.375,-8.0,0,1,-8.0,15.261607604268518,7.261607604268518,15.149257407543116,25.0,-28.0,-6,1.9061547465398496
47,38,20,72,28,48,43,38,46,27,50,55,71,68,48,32,1,11,-30,17,-43,-20,-5,6,1,0,6,41.75,49.625,-7.875,0,1,-7.875,15.456255475804396,7.5812554758043955,19.763840087391923,17.0,-43.0,0,2.0794415416798357
70,44,32,62,40,54,27,58,60,32,42,59,68,71,36,48,10,12,-10,3,-28,-17,-9,10,1,1,3,48.375,52.0,-3.625,0,0,-3.625,14.483179899455783,10.858179899455783,13.701619429833833,12.0,-28.0,0,1.9061547465398496
69,27,28,43,35,41,29,55,71,28,53,39,39,42,30,57,-2,-1,-25,4,-4,-1,-1,-2,1,0,5,40.875,44.875,-4.0,0,1,-4.0,14.310252734781917,10.310252734781917,8.215838362577491,4.0,-25.0,-6,1.4941751382893085
47,68,37,26,42,47,72,40,64,75,43,37,64,64,35,59,-17,-7,-6,-11,-22,-17,37,-19,1,0,5,47.375,55.125,-7.75,0,1,-7.75,15.15915564930976,7.40915564930976,17.73943347460679,37.0,-22.0,-6,1.9061547465398496
45,61,23,35,65,31,57,53,27,58,68,34,41,27,49,31,18,3,-45,1,24,4,8,22,0,1,2,46.25,41.875,4.375,1,1,-4.375,14.88833435949099,10.51333435949099,20.45077932500373,24.0,-45.0,6,2.0794415416798357
52,56,37,30,67,65,76,58,73,56,46,40,25,40,35,58,-21,0,-9,-10,42,25,41,0,0,1,6,55.125,46.625,8.5,1,1,-8.5,15.3747628708001,6.874762870800099,22.677080940897135,42.0,-21.0,0,1.9061547465398496
44,54,53,47,48,21,13,37,53,57,37,53,75,38,28,41,-9,-3,16,-6,-27,-17,-15,-4,1,0,6,39.625,47.75,-8.125,0,1,-8.125,15.023176539378525,6.898176539378525,11.794463743638369,16.0,-27.0,-6,2.0794415416798357
16,67,51,50,53,50,60,48,13,55,54,41,44,26,57,40,3,12,-3,9,9,24,3,8,0,1,6,49.375,41.25,8.125,1,1,-8.125,15.186479732534023,7.061479732534023,7.457169369137327,24.0,-3.0,6,1.7328679513998633
40,35,52,32,67,47,40,73,54,28,59,42,41,51,14,28,-14,7,-7,-10,26,-4,26,45,0,1,6,48.25,39.625,8.625,1,1,-8.625,15.272933575446466,6.647933575446466,19.974593237410367,45.0,-14.0,0,1.9061547465398496
56,38,34,33,18,40,66,27,28,47,41,58,48,42,77,36,28,-9,-7,-25,-30,-2,-11,-9,1,0,6,39.0,47.125,-8.125,0,1,-8.125,15.26420103815897,7.139201038158969,16.26681821992242,28.0,-30.0,-6,1.9061547465398496
61,20,46,29,48,48,41,64,62,57,76,30,60,56,46,36,-1,-37,-30,-1,-12,-8,-5,28,1,0,6,44.625,52.875,-8.25,0,1,-8.25,14.95548951611637,6.705489516116369,18.518571759182727,28.0,-37.0,-6,1.9061547465398496
56,62,44,35,14,43,40,57,35,65,62,38,28,49,41,65,21,-3,-18,-3,-14,-6,-1,-8,1,0,2,43.875,47.875,-4.0,0,1,-4.0,14.58709475301142,10.58709475301142,10.908712114635714,21.0,-18.0,-6,1.9061547465398496
45,43,62,69,54,28,32,35,22,40,31,17,64,48,36,43,23,3,31,52,-10,-20,-4,-8,0,1,1,46.0,37.625,8.375,1,1,-8.375,14.909588637294233,6.534588637294233,22.972469936861383,52.0,-20.0,0,2.0794415416798357
20,29,41,36,64,22,46,52,75,54,31,46,54,47,40,27,-55,-25,10,-10,10,-25,6,25,1,1,1,38.75,46.75,-8.0,0,0,-8.0,15.163552793898049,7.163552793898049,24.300205760445735,25.0,-55.0,0,1.7328679513998633
40,67,66,34,25,43,50,43,32,44,20,38,32,66,24,47,8,23,46,-4,-7,-23,26,-4,0,1,6,46.0,37.875,8.125,1,1,-8.125,14.726252069009277,6.601252069009277,20.817285485864865,46.0,-23.0,0,1.9061547465398496
59,61,34,26,61,37,63,40,54,27,18,42,58,35,55,32,5,34,16,-16,3,2,8,8,0,1,6,47.625,40.125,7.5,1,1,-7.5,14.750706197783662,7.250706197783662,13.152946437965905,34.0,-16.0,6,1.9061547465398496
45,67,34,59,48,33,68,69,55,16,41,44,63,52,63,57,-10,51,-7,15,-15,-19,5,12,0,1,6,52.875,48.875,4.0,1,1,-4.0,14.845313514147598,10.845313514147598,21.219095173922945,51.0,-19.0,0,2.0794415416798357
54,73,41,50,42,67,37,31,58,19,43,60,33,45,22,49,-4,54,-2,-10,9,22,15,-18,0,1,6,49.375,41.125,8.25,1,1,-8.25,15.101876263122628,6.851876263122628,21.22940178149163,54.0,-18.0,0,2.0794415416798357
39,54,28,46,48,34,73,28,40,57,23,40,37,62,61,64,-1,-3,5,6,11,-28,12,-36,1,0,6,43.75,48.0,-4.25,0,1,-4.25,14.709973940606874,10.459973940606874,16.850445097978866,12.0,-36.0,0,2.0794415416798357
47,76,32,31,54,38,50,59,41,63,25,18,48,55,48,55,6,13,7,13,6,-17,2,4,0,1,6,48.375,44.125,4.25,1,1,-4.25,14.92871952535336,10.67871952535336,8.828221791504788,13.0,-17.0,6,1.7328679513998633
52,50,49,47,32,50,75,77,20,47,72,48,44,56,35,49,32,3,-23,-1,-12,-6,40,28,0,1,6,54.0,46.375,7.625,1,1,-7.625,15.025395169512182,7.400395169512182,21.39472773839387,40.0,-23.0,0,2.0794415416798357
58,42,56,29,18,54,56,57,32,51,50,51,23,59,53,20,26,-9,6,-22,-5,-5,3,37,0,1,6,46.25,42.375,3.875,1,1,-3.875,14.736434439850095,10.861434439850095,17.97524339195439,37.0,-22.0,0,1.9061547465398496
46,23,64,66,45,58,61,38,58,26,34,68,36,55,37,54,-12,-3,30,-2,9,3,24,-16,0,1,1,50.125,46.0,4.125,1,1,-4.125,14.415125158434572,10.290125158434572,15.177594506376826,30.0,-16.0,0,2.0794415416798357
69,39,51,65,30,41,40,68,41,28,27,66,36,49,62,30,28,11,24,-1,-6,-8,-22,38,0,1,6,50.375,42.375,8.0,1,1,-8.0,15.261607604268518,7.261607604268518,19.35846068260594,38.0,-22.0,0,2.0794415416798357
42,34,34,30,48,66,72,41,48,46,73,28,46,64,68,62,-6,-12,-39,2,2,2,4,-21,1,0,6,45.875,54.375,-8.5,0,1,-8.5,15.305227865013967,6.805227865013967,14.106735979665885,4.0,-39.0,0,1.6674619334292948
63,70,58,43,54,41,78,35,55,60,54,40,59,35,73,29,8,10,4,3,-5,6,5,6,0,1,6,55.25,50.625,4.625,1,1,-4.625,14.530284466130272,9.905284466130272,4.181432170919432,10.0,-5.0,6,1.9061547465398496
