mean_left,mean_right,var_left,var_right,diff_mean,mean_var,diff_var,response_left,correct,source
40.125,50.0,230.98214285714286,231.71428571428572,-9.875,231.34821428571428,-0.7321428571428612,1,0,data_lab
50.25,40.375,231.07142857142858,235.41071428571428,9.875,233.24107142857144,-4.339285714285694,0,0,data_lab
40.875,41.375,103.55357142857143,397.69642857142856,-0.5,250.625,-294.1428571428571,1,0,data_lab
48.875,49.125,96.98214285714286,384.69642857142856,-0.25,240.83928571428572,-287.71428571428567,0,1,data_lab
44.0,53.75,219.71428571428572,218.78571428571428,-9.75,219.25,0.9285714285714448,0,1,data_lab
54.375,44.125,236.83928571428572,224.41071428571428,10.25,230.625,12.428571428571445,1,1,data_lab
52.875,53.375,108.98214285714286,397.125,-0.5,253.05357142857144,-288.1428571428571,1,0,data_lab
47.875,47.625,400.98214285714283,107.125,0.25,254.05357142857142,293.85714285714283,1,1,data_lab
60.0,49.875,218.0,237.55357142857142,10.125,227.77678571428572,-19.553571428571416,0,0,data_lab
40.625,50.875,225.41071428571428,232.125,-10.25,228.76785714285714,-6.714285714285722,0,1,data_lab
47.125,56.875,231.83928571428572,219.26785714285714,-9.75,225.55357142857144,12.571428571428584,0,1,data_lab
44.0,53.875,217.71428571428572,233.55357142857142,-9.875,225.63392857142856,-15.839285714285694,0,1,data_lab
44.25,54.125,211.35714285714286,212.69642857142858,-9.875,212.02678571428572,-1.3392857142857224,0,1,data_lab
50.25,59.625,213.92857142857142,216.26785714285714,-9.375,215.09821428571428,-2.3392857142857224,0,1,data_lab
41.25,51.0,236.5,230.28571428571428,-9.75,233.39285714285714,6.214285714285722,0,1,data_lab
59.625,50.375,216.55357142857142,225.41071428571428,9.25,220.98214285714283,-8.857142857142861,0,0,data_lab
51.25,41.375,211.64285714285714,225.41071428571428,9.875,218.52678571428572,-13.767857142857139,1,1,data_lab
50.125,59.625,214.125,239.98214285714286,-9.5,227.05357142857144,-25.85714285714286,0,1,data_lab
